Date,Title,Company,Location,CTC Range,Experience,Starts,Link
2023-Dec-22,Data Analytics Associate,Zydus Life Sciences Pvt Ltd,Ahmedabad,"₹ 5,20,000 - 7,50,000                                

                                ₹ 5,20,000 - 7,50,000 /year",0-5 years,No Info,https://internshala.comData Analytics Associate
2023-Dec-22,Business Analytics,Tercept Incorporation,Bangalore,No Info,No Info,No Info,https://internshala.comBusiness Analytics
2023-Dec-22,Data Analytics Executive,Luminos Technology,Work from home,"₹ 4,00,000 - 6,00,000                                

                                ₹ 4,00,000 - 6,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Junior Business Analyst,Techcanopy,Bangalore,"₹ 3,00,000 - 3,50,000                                

                                ₹ 3,00,000 - 3,50,000 /year",0-2 years,No Info,https://internshala.comJunior Business Analyst
2023-Dec-22,Data Scientist,Creasophere Tech Private Limited (Sigma Value),Pune,"₹ 2,00,000 - 2,50,000                                

                                ₹ 2,00,000 - 2,50,000 /year",0-2 years,No Info,https://internshala.comData Scientist
2023-Dec-22,Data Analytics Executive,Luminos Technology,Work from home,"₹ 4,00,000 - 7,00,000                                

                                ₹ 4,00,000 - 7,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Data Analytics Manager,Luminos Technology,Work from home,"₹ 4,00,000 - 7,00,000                                

                                ₹ 4,00,000 - 7,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Manager
2023-Dec-22,Data Analytics Executive,VICE ENTERPRISES,Work from home,"₹ 4,00,000 - 7,00,000                                

                                ₹ 4,00,000 - 7,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Chartered Financial Analytics (Level-1),Boston Institute Of Analytics Global Education Private Limited,Mumbai,No Info,No Info,No Info,https://internshala.comChartered Financial Analytics (Level-1)
2023-Dec-22,Business Analytics,Jasmin Patel,Ahmedabad,No Info,No Info,No Info,https://internshala.comBusiness Analytics
